delta,s0,s1
0.14974158280933642,0.2905899468166414,0.4403315296259778
0.11537558725412383,0.2974255968027521,0.41280118405687594
0.16398181527881317,0.28260923159911855,0.4465910468779317
0.12919085665094948,0.3162790698875399,0.4454699265384894
0.15243027087051553,0.2790234550447474,0.43145372591526293
0.15922582198441632,0.28208855720257253,0.44131437918698885
0.18791008769091805,0.2743542162398955,0.4622643039308135
0.16231250080760057,0.29402834701136676,0.45634084781896733
0.1917544489975106,0.27845883922272474,0.47021328822023534
0.06805739281049417,0.30885924638841394,0.3769166391989081
0.08484252294950967,0.3377148995588349,0.42255742250834455
0.19924867620084014,0.27494688334196876,0.4741955595428089
0.1787844582420915,0.2699552672032166,0.4487397254453081
0.1469085702586045,0.28642803739132516,0.43333660764992965
0.10746771936877247,0.31343915650187654,0.420906875870649
0.16808183979671043,0.2861332774184679,0.4542151172151783
0.12758474759894595,0.3030122344290057,0.43059698202795166
0.15343523296808592,0.2984977137712619,0.4519329467393478
0.18080923209959776,0.2790146628044718,0.45982389490406955
0.1261072866217468,0.28790555938408363,0.41401284600583044
0.1807185241877033,0.2572485001372515,0.43796702432495477
0.16715292746383753,0.26936709009090076,0.4365200175547383
0.13519079726446015,0.30633082352265495,0.4415216207871151
0.11603458746821838,0.3061923129540267,0.4222269004222451
0.1629665315532396,0.29726387387329406,0.46023040542653365
0.24638113175588666,0.25982015471552783,0.5062012864714145
0.15290412447785556,0.31909067867299906,0.4719948031508546
0.12581530322173085,0.28406704547738537,0.4098823486991162
0.13980071692901547,0.2801475645219039,0.4199482814509194
0.06962021927758444,0.32180406643193427,0.3914242857095187
0.1744490861710304,0.2880525085709146,0.46250159474194497
0.164939693548098,0.27637006388996876,0.4413097574380668
0.09291969971324948,0.3149357593890935,0.407855459102343
0.17137370973064892,0.3019722339914543,0.4733459437221032
0.1818946920283821,0.26218856260543333,0.4440832546338154
0.13300952334935506,0.3201625576082397,0.45317208095759476
0.1667766137826514,0.27177280410317844,0.43854941788582985
0.2053628227745798,0.26034204044073245,0.46570486321531224
0.1577928761364964,0.27497534332145307,0.43276821945794947
0.17229608789640294,0.2633603931152158,0.43565648101161875
0.17794970176806774,0.26210810667537127,0.440057808443439
0.13748876930501053,0.2881783988970199,0.42566716820203043
0.1729955238917354,0.24818328097525355,0.42117880486698894
0.1743125151313062,0.29573693130056516,0.47004944643187135
0.19575527972667828,0.2603421575151538,0.4560974372418321
0.21044655054668848,0.28973549695698386,0.5001820475036723
0.1465081792488056,0.29288606878691925,0.43939424803572485
0.11996405758335327,0.34888782641161525,0.4688518839949685
0.14635645280439719,0.2662283469800347,0.4125847997844319
0.14030934199790318,0.3105150005314011,0.45082434252930426
0.14786353193044505,0.2682853949323366,0.41614892686278165
0.1731476140782467,0.25466140931397035,0.42780902339221705
0.1694951990531502,0.2823240035672513,0.4518192026204015
0.12047711285504442,0.29608306493401176,0.4165601777890562
0.16722014994571527,0.269886667438035,0.4371068173837503
0.13163452171511053,0.3052277761688086,0.4368622978839191
0.14402267582040856,0.25103207607980893,0.3950547519002175
0.19340210334426516,0.2810909334456259,0.4744930367898911
0.15741265031948543,0.2696443651381541,0.4270570154576395
0.19990867549270536,0.2792710112673822,0.47917968676008754
0.18669206835508356,0.26519234633027283,0.4518844146853564
0.10643433624754445,0.2971678796072688,0.40360221585481326
0.15179607504763576,0.27164047701689803,0.4234365520645338
0.1896784571712809,0.26399940140785405,0.45367785857913495
0.22540010704969177,0.26573861823340533,0.4911387252830971
0.194312208216738,0.27710954654617725,0.47142175476291526
0.07425996941738516,0.32496198744039645,0.3992219568577816
0.1330771649535301,0.2893531486835525,0.4224303136370826
0.17224450804869446,0.264687479721285,0.43693198776997944
0.18109408181589942,0.2568517947216864,0.4379458765375858
0.2038105798936361,0.2710584237751525,0.4748690036687886
0.16868446984552266,0.2816118283843804,0.4502962982299031
0.1064428528458804,0.34336047694214594,0.44980332978802634
0.148500928819582,0.3022613519641736,0.4507622807837556
0.14829237157659508,0.29849098203083096,0.44678335360742605
0.11934167401709544,0.31750993747103723,0.4368516114881327
0.11511045401004266,0.30666775009249764,0.4217782041025403
0.20006045335888364,0.23804758426707587,0.4381080376259595
0.0864544858138146,0.30890183505917634,0.39535632087299094
0.13232883475492885,0.300963607154638,0.43329244190956684
0.17359987206842126,0.2826260838164237,0.45622595588484494
0.17450780158938925,0.24643384095188822,0.42094164254127747
0.22218263358124213,0.2620986349617277,0.4842812685429698
0.1699061937558955,0.3025171232307873,0.4724233169866828
0.1631368882752241,0.294936515805097,0.4580734040803211
0.16867932476255054,0.28977213374627175,0.4584514585088223
0.17247560186255317,0.29867687649506147,0.47115247835761465
0.1563099031640388,0.31817050683137027,0.4744804099954091
0.16568282320848549,0.26275731131949426,0.42844013452797974
0.1638442137263152,0.26381529446172114,0.42765950818803633
0.11708587054931718,0.31301261307500633,0.4300984836243235
0.2004641521397586,0.26445370526958073,0.46491785740933933
0.19178645185690757,0.24375109757043367,0.43553754942734124
0.1311438801986135,0.303608680615625,0.4347525608142385
0.16596289047683654,0.31577331694777466,0.4817362074246112
0.15928539904657246,0.25803028474483714,0.4173156837914096
0.1716099738525238,0.28346563580426487,0.45507560965678867
0.18962144469455927,0.2389416968088257,0.428563141503385
0.16648887880388605,0.24723916618367084,0.4137280449875569
0.10058154482459625,0.3298622755176116,0.43044382034220785
0.12523925865489083,0.30955719380365077,0.4347964524585416
0.1530864776476637,0.2830726921864396,0.4361591698341033
0.14235681403553607,0.2635069058416887,0.40586371987722475
0.21689416455353944,0.27377276701539255,0.490666931568932
0.12459454741105985,0.27211794035998116,0.396712487771041
0.14538130881669414,0.2894065382488267,0.4347878470655208
0.14576789215027125,0.2935406556113047,0.43930854776157596
0.15563406426409326,0.29837882559907786,0.4540128898631711
0.19586076316438977,0.26116823287141555,0.4570289960358053
0.172774477265206,0.2735350502427923,0.4463095275079983
0.16310646960041164,0.26998243493843405,0.4330889045388457
0.13241107623335235,0.29176912237753,0.42418019861088235
0.17092123399747272,0.3011331416354897,0.47205437563296243
0.08070294718274862,0.32485490421643387,0.4055578513991825
0.15329874618818684,0.285597326840705,0.43889607302889183
0.1144034975005685,0.30204252500514217,0.41644602250571067
0.1973114188824998,0.27472139972575393,0.47203281860825375
0.16481489297599416,0.29919846544579626,0.4640133584217904
0.13928521949717415,0.3002469479907177,0.43953216748789187
0.0884835466277808,0.29293577098015816,0.38141931760793896
0.10775953518664733,0.30619752887506924,0.41395706406171656
0.18297498983893135,0.2674255358934456,0.45040052573237693
0.14561731756964302,0.3175472325702149,0.4631645501398579
0.15405106888127817,0.26758117757805727,0.42163224645933545
0.16642332755685474,0.25876861312990806,0.4251919406867628
0.18944027281613846,0.2636680139598568,0.45310828677599524
0.1876101501507117,0.25610394409218906,0.44371409424290076
0.17696938834307918,0.26991674460322396,0.44688613294630314
0.16105324513876695,0.28539261599391164,0.4464458611326786
0.17379383824630174,0.28965753897558755,0.4634513772218893
0.11500131982447526,0.2797271269596608,0.39472844678413604
0.16123062170577668,0.27491951768069134,0.436150139386468
0.12904316007977373,0.26966479224143625,0.39870795232121
0.12751144604497688,0.3176763170000816,0.44518776304505847
0.1729906898609151,0.28225475195230654,0.45524544181322163
0.15682293741998804,0.2664369273619053,0.4232598647818933
