method,naive_delta,weighted_delta,bnp_mean,bnp_q025,bnp_q975
KM-GPT,0.1687853880079653,0.2341117975975649,0.2050476115732194,0.0516945979230281,0.3606609406933556
RESOLVE-IPD,0.1248535717259508,0.09338976945428812,0.12059127975508738,-0.016622290817267092,0.2521686897138819
