delta,s0,s1
0.08838955456600134,0.3392824557663355,0.4276720103323368
0.15149874766386728,0.32323129224710023,0.4747300399109675
0.10781090468151894,0.3412356502940988,0.44904655497561774
0.1285689778418403,0.3183750740046618,0.4469440518465021
0.048520818827530454,0.37130431708523254,0.419825135912763
0.11641806656447101,0.3482563761963319,0.4646744427608029
0.1287727882165513,0.32892462584241877,0.4576974140589701
0.08070705299902092,0.3588482306287974,0.4395552836278183
0.09820414535691996,0.3617141746215572,0.45991831997847715
0.08665554343820525,0.36937332842039383,0.4560288718585991
0.06730121858453869,0.339407493984418,0.4067087125689567
0.10028897713897938,0.3434947466496095,0.4437837237885889
0.10203048131968384,0.32093660045844263,0.4229670817781265
0.11477398560652513,0.34162197333410993,0.45639595894063506
0.1369414301849597,0.31453715039814706,0.45147858058310675
0.13015852998934435,0.325082733208116,0.45524126319746033
0.10116285310705914,0.3197004187157807,0.42086327182283984
0.1319972705766514,0.31648609488075125,0.44848336545740264
0.11963832728606111,0.32158361021537313,0.44122193750143424
0.1608039867390214,0.32701853528297503,0.48782252202199644
0.03395545485101692,0.39294438369887785,0.4268998385498948
0.07726322912329825,0.35601648076338377,0.433279709886682
0.06406437088798322,0.3500597744424483,0.4141241453304315
0.14504621596975087,0.3315531993163311,0.47659941528608196
0.08515114227314463,0.3468221618221485,0.4319733040952931
0.08289315572803291,0.35874362078600747,0.4416367765140404
0.09772903193100685,0.34954027566541496,0.4472693075964218
0.11798306832790373,0.3024691643449496,0.4204522326728533
0.1073578014530358,0.349380373740221,0.4567381751932568
0.12597644673320169,0.3499903274885673,0.475966774221769
0.15734452727487236,0.3070283064289272,0.46437283370379956
0.12808834509268213,0.32261631844741756,0.4507046635400997
0.1302933887801504,0.3346977573416342,0.4649911461217846
0.022824982619996548,0.36195809201552315,0.3847830746355197
0.1562832859352466,0.3300395846049029,0.4863228705401495
0.16863171323544024,0.2942590338838644,0.4628907471193046
0.16371145697406653,0.2861924885051259,0.44990394547919244
0.16794559575345452,0.3021934244234803,0.4701390201769348
0.15736417482018777,0.3363720509306141,0.4937362257508019
0.1297792604417159,0.3147753561087872,0.4445546165505031
0.08136433115962577,0.3751851272640688,0.45654945842369454
0.1262091132445216,0.3269584513867745,0.4531675646312961
0.11695614236071733,0.3306442872713471,0.4476004296320644
0.09412176557010493,0.33577441098353394,0.4298961765536389
0.1401778507342023,0.3230505687523139,0.4632284194865162
0.1366904068953761,0.3367215674540853,0.4734119743494614
0.10715126162075506,0.31225636877405794,0.419407630394813
0.13578707119622896,0.31725971752328963,0.4530467887195186
0.11564847530179995,0.3169552109628817,0.43260368626468165
0.1162806511171014,0.3203722708503397,0.4366529219674411
0.1409389536861826,0.3341422679805173,0.4750812216666999
0.09283196286671036,0.3414144335670408,0.4342463964337512
0.0645665061775001,0.34566266322504907,0.41022916940254917
0.09614334566682264,0.3532466001176767,0.44938994578449937
0.11009476574257465,0.3304958193313958,0.4405905850739705
0.0976960468135814,0.33907745687281254,0.43677350368639395
0.09315544632414058,0.33993754607496646,0.43309299239910704
0.1357706026868976,0.3309721807857948,0.46674278347269244
0.09417757429931517,0.31753126504416695,0.4117088393434821
0.11745145907491339,0.3188671331768475,0.4363185922517609
0.15599470168660995,0.3329993510772745,0.48899405276388447
0.14300521574800779,0.3169763187543606,0.4599815345023684
0.13925331641631167,0.31136795571805187,0.45062127213436354
