method,Delta_mean,q025,q975
Naive KM,0.1687853880079653,,
Weighted KM,0.2341117975975649,,
BNP Bootstrap,0.2050476115732194,0.0516945979230281,0.3606609406933556
DPSM,0.12016121792838916,0.064042149589817,0.16820175285657868
